Timestamp,What is your current age?,What is your gender? ,What is your current level of education? ,Which of the following best describes your current employment status? ,Which of the following alternative educational pathways have you explored? ,How likely are you to consider enrolling in a bootcamp or online certification in the future? ,How effective do you believe bootcamps and online certifications are for career advancement compared to traditional degrees? ,How important do you believe traditional degrees are for career success in your field? ,"In your opinion, how well do bootcamps and online certifications prepare individuals for practical job skills? ",Do you think employers value bootcamps and online certifications as much as traditional degrees? ,"In your experience, have you or anyone you know been hired based on an online certification or bootcamp instead of a traditional degree? ",How likely are employers in your field to consider a bootcamp graduate equally with a university degree holder? ,Have you experienced an increase in job opportunities after completing an online certification or bootcamp? ,"On a scale of 1-5, how would you rate the usefulness of the skills gained from your alternative education pathway (e.g., bootcamp, online certification) for your current job? ",How would you rate the overall quality of your experience with bootcamps or online certifications compared to traditional university education? ,Do you think traditional degrees should integrate bootcamps or online certifications as part of the curriculum? ,How likely are you to pursue a traditional degree alongside a bootcamp or online certification in the future? ,"How much more willing are you to invest in alternative education pathways (e.g., bootcamps, online certifications) compared to traditional higher education? ",Do you expect alternative education pathways to become more widely accepted and integrated into the workforce in the next 5 years? ,"In your opinion, which type of educational pathway (traditional degree or alternative education) will be more relevant in the future job market? ","If you had to split your preference between traditional degrees and alternative education pathways (e.g., bootcamps, online certifications) based on their perceived value in the job market, on a scale of 1-10, how would you prefer pursuing traditional education?  ","Do you think online certifications and bootcamps are better for self-employment, as compared to traditional degree?",Do you think online certifications and bootcamps are more preferable than traditional degree in terms of expense and total cost?
11/15/2024 21:11:01,22,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Very important,Well,Yes,Yes,Neutral,No,3,About the same,Yes,Neutral,3,Yes,"Alternative education (bootcamps, online certifications)",7,No,Maybe
11/15/2024 21:26:20,27,Male,Post-Graduate,Employed Full-time,None of the above,Unlikely,Neutral,Important,Well,Yes,Yes,Unlikely,No,4,About the same,No,Unlikely,3,Yes,Both Equally,8,No,Yes
11/15/2024 21:33:48,28,Male,Bachelor's Degree,Self-Employed,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Important,Well,No,No,Very Unlikely,Yes,4,About the same,Yes,Neutral,4,Not Sure,Both Equally,5,Maybe,No
11/15/2024 21:36:05,27,Female,Bachelor's Degree,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Very important,Neutral,Yes,Yes,Likely,No,4,About the same,Yes,Likely,2,Yes,Both Equally,10,No,No
11/15/2024 21:38:05,31,Male,Master's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Important,Well,Yes,Yes,Likely,Yes,4,Better,Yes,Very Likely,4,Yes,Both Equally,9,No,No
11/15/2024 21:44:31,25,Male,Master's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Slightly Important,Well,Yes,Yes,Likely,Yes,3,About the same,Yes,Likely,3,Yes,Traditional degrees,5,Yes,Maybe
11/15/2024 21:50:14,25,Male,Master's Degree,Student,"Online certifications (e.g., Coursera, Udemy)",Very Likely,Very Effective,Important,Well,Yes,Yes,Likely,Yes,1,Much Better,Yes,Likely,5,Yes,Both Equally,10,No,Yes
11/15/2024 21:51:36,26,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Important,Neutral,Yes,Yes,Neutral,Yes,4,About the same,Yes,Neutral,4,Yes,Traditional degrees,8,Maybe,Yes
11/15/2024 22:08:06,23,Female,Master's Degree,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Neutral,Neutral,No,No,Unlikely,No,4,About the same,Yes,Neutral,2,Yes,Traditional degrees,8,No,Maybe
11/15/2024 22:12:18,26,Male,Bachelor's Degree,Employed Full-time,None of the above,Neutral,Effective,Important,Neutral,Yes,No,Neutral,Yes,3,About the same,Yes,Neutral,3,Not Sure,Both Equally,8,No,Maybe
11/15/2024 22:56:37,24,Female,Bachelor's Degree,Employed Full-time,None of the above,Very Unlikely,Neutral,Neutral,Neutral,Not Sure,No,Neutral,Not Applicable,3,About the same,No,Neutral,5,Not Sure,Traditional degrees,3,Yes,Yes
11/15/2024 23:17:25,26,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Important,Well,Not Sure,No,Unlikely,No,4,About the same,No,Likely,4,No,"Alternative education (bootcamps, online certifications)",6,Yes,No
11/15/2024 23:20:34,27,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Important,Well,No,Yes,Unlikely,Yes,4,Worse,Yes,Likely,3,Yes,Traditional degrees,8,Maybe,Maybe
11/15/2024 23:20:57,24,Male,Bachelor's Degree,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Important,Well,No,No,Very Unlikely,Yes,3,Better,Yes,Unlikely,3,Yes,Traditional degrees,6,Maybe,No
11/15/2024 23:34:49,28,Male,Master's Degree,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Slightly Important,Neutral,Not Sure,No,Neutral,Yes,4,Better,Yes,Very Likely,5,Yes,Traditional degrees,8,No,Yes
11/15/2024 23:54:16,29,Male,Master's Degree,Employed Full-time,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Likely,Effective,Important,Well,Yes,Yes,Very Unlikely,Yes,3,Better,Yes,Likely,3,Yes,Traditional degrees,7,Maybe,No
11/16/2024 0:22:53,25,Female,Doctoral Degree,Employed Full-time,None of the above,Neutral,Effective,Neutral,Neutral,No,No,Very Unlikely,No,3,About the same,Not Sure,Neutral,5,Yes,"Alternative education (bootcamps, online certifications)",1,Yes,No
11/16/2024 1:15:51,25,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Likely,Very Effective,Important,Very Well,Yes,No,Unlikely,Yes,5,About the same,Yes,Very Likely,3,Yes,Both Equally,3,Yes,Maybe
11/16/2024 1:33:51,27,Male,Master's Degree,Employed Full-time,None of the above,Very Unlikely,Ineffective,Very important,Poorly,No,No,Very Unlikely,No,1,Worse,Yes,Neutral,2,No,Traditional degrees,3,Yes,No
11/16/2024 12:44:44,22,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Slightly Important,Well,No,No,Very Unlikely,No,3,About the same,Yes,Likely,3,Yes,Both Equally,7,No,Yes
11/16/2024 12:47:44,26,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Ineffective,Important,Neutral,No,Yes,Likely,No,4,About the same,Yes,Neutral,3,No,Traditional degrees,6,No,Maybe
11/16/2024 13:33:30,27,Male,Bachelor's Degree,Employed Full-time,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Very Unlikely,Very Ineffective,Slightly Important,Neutral,Yes,Yes,Likely,Yes,4,Worse,Yes,Unlikely,4,No,Both Equally,7,Yes,Yes
11/16/2024 14:06:59,20,Male,College Degree,Self-Employed,Both of the above,Very Likely,Very Effective,Very important,Very Well,Yes,Yes,Very Likely,Yes,5,Much Better,Yes,Neutral,5,Yes,"Alternative education (bootcamps, online certifications)",3,Yes,Maybe
11/16/2024 14:27:31,25,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Very Likely,Neutral,Neutral,Neutral,No,No,Very Unlikely,Yes,1,Worse,Yes,Likely,2,No,Traditional degrees,8,No,Yes
11/16/2024 14:36:30,27,Female,Master's Degree,Employed Full-time,None of the  above,Unlikely,Ineffective,Important,Very Poorly,Not Sure,Yes,Likely,Yes,4,Worse,No,Unlikely,3,Yes,"Alternative education (bootcamps, online certifications)",4,Maybe,No
11/16/2024 14:39:05,25,Male,Bachelor's Degree,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Important,Neutral,Yes,No,Unlikely,Yes,4,Better,Yes,Likely,4,Yes,Both Equally,7,Maybe,Yes
11/16/2024 14:43:22,23,Female,Master's Degree,Student,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Neutral,Effective,Important,Well,Yes,Yes,Neutral,Yes,1,Better,Yes,Likely,2,Yes,"Alternative education (bootcamps, online certifications)",1,Yes,Yes
11/16/2024 14:43:26,20,Female,Under-Graduate,Employed Part-time,Both of the above,Very Unlikely,Neutral,Slightly Important,Well,Yes,Yes,Likely,No,3,Better,No,Neutral,3,No,"Alternative education (bootcamps, online certifications)",6,No,No
11/16/2024 14:45:00,20,Female,Under-Graduate,Student,None of the  above,Likely,Effective,Very important,Well,Not Sure,No,Neutral,Not Applicable,3,Better,Not Sure,Likely,2,Not Sure,Both Equally,5,No,No
11/16/2024 14:48:36,22,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Slightly Important,Very Well,Yes,No,Unlikely,Yes,3,Better,Yes,Likely,4,Yes,"Alternative education (bootcamps, online certifications)",8,Yes,Maybe
11/16/2024 14:51:48,22,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Slightly Important,Very Well,Yes,No,Unlikely,Yes,4,Better,Yes,Likely,4,Yes,Both Equally,3,,Maybe
11/16/2024 15:11:56,26,Male,Post-Graduate,Student,Both of the above,Likely,Effective,Very important,Well,No,Yes,Unlikely,Yes,4,About the same,Yes,Likely,4,Yes,Both Equally,6,No,Yes
11/16/2024 15:31:43,18,Male,College Degree,Student,None of the  above,Neutral,Effective,Slightly Important,Neutral,Not Sure,No,Likely,Yes,3,About the same,Not Sure,Likely,3,Not Sure,Both Equally,6,Yes,Yes
11/16/2024 15:33:11,21,Female,Under-Graduate,Student,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Neutral,Effective,Important,Well,Not Sure,Yes,Very Likely,Yes,4,Better,Yes,Neutral,4,Yes,Both Equally,8,Yes,Yes
11/16/2024 15:53:02,24,Female,Under-Graduate,Self-Employed,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Likely,Effective,Important,Well,Not Sure,Yes,Likely,Yes,4,Better,Yes,Likely,5,Not Sure,Both Equally,8,Yes,Maybe
11/16/2024 16:43:51,24,Female,Bachelor's Degree,Employed Full-time,Both of the above,Neutral,Neutral,Neutral,Neutral,Not Sure,Yes,Neutral,Yes,2,Better,Yes,Neutral,3,Not Sure,Both Equally,5,Maybe,Maybe
11/16/2024 16:52:02,26,Female,Master's Degree,Employed Full-time,None of the  above,Neutral,Ineffective,Very important,Neutral,No,No,Neutral,No,1,About the same,No,Neutral,2,Yes,Traditional degrees,5,No,Maybe
11/16/2024 16:53:08,20,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Neutral,Neutral,Poorly,Not Sure,Yes,Neutral,Yes,3,Better,Yes,Neutral,2,Not Sure,Both Equally,6,Yes,Yes
11/16/2024 18:26:04,24,Male,Bachelor's Degree,Self-Employed,Both of the above,Neutral,Ineffective,Slightly Important,Neutral,Not Sure,No,Neutral,No,2,Better,No,Neutral,1,Yes,Both Equally,3,Yes,No
11/16/2024 21:26:36,25,Male,Under-Graduate,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,Yes,4,Better,Yes,Neutral,4,Yes,"Alternative education (bootcamps, online certifications)",8,Maybe,Maybe
11/16/2024 21:42:36,22,Female,Bachelor's Degree,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Neutral,Important,Well,Not Sure,No,Neutral,No,3,About the same,Not Sure,Neutral,3,Not Sure,"Alternative education (bootcamps, online certifications)",5,Maybe,Maybe
11/16/2024 22:49:36,23,Female,Post-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Very Effective,Important,Well,Yes,No,Likely,No,3,Better,Yes,Likely,3,Not Sure,Both Equally,6,Yes,No
11/16/2024 23:16:24,26,Male,Bachelor's Degree,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Very important,Well,No,Yes,Unlikely,Yes,4,Worse,Yes,Likely,3,Yes,Both Equally,8,Yes,Yes
11/17/2024 0:41:03,23,Female,Under-Graduate,Student,None of the  above,Neutral,Effective,Slightly Important,Well,No,Yes,Likely,Yes,4,Better,Yes,Very Likely,4,Not Sure,Both Equally,7,Yes,Yes
11/17/2024 1:30:26,21,Female,Under-Graduate,Student,None of the  above,Neutral,Effective,Neutral,Well,Yes,Yes,Unlikely,Yes,3,Worse,Yes,Likely,3,Yes,"Alternative education (bootcamps, online certifications)",6,Yes,Yes
11/17/2024 9:13:18,24,Female,Post-Graduate,Employed Part-time,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Important,Well,Yes,No,Neutral,Yes,3,Better,Yes,Neutral,3,No,Both Equally,5,Maybe,Maybe
11/19/2024 15:42:02,22,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Effective,Slightly Important,Well,Not Sure,No,Unlikely,Yes,4,Better,Yes,Very Likely,5,Yes,"Alternative education (bootcamps, online certifications)",9,Maybe,Maybe
11/19/2024 15:47:51,19,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Neutral,Important,Well,No,No,Neutral,No,1,About the same,Not Sure,Likely,1,Not Sure,Both Equally,10,Maybe,No
11/19/2024 15:53:47,19,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Very Effective,Very important,Very Well,Yes,Yes,Unlikely,Yes,4,Better,Yes,Likely,4,Yes,Both Equally,8,Yes,Yes
11/19/2024 15:56:18,18,Female,Under-Graduate,Student,Both of the above,Neutral,Effective,Very important,Well,Not Sure,No,Neutral,Not Applicable,4,About the same,Not Sure,Very Likely,3,Not Sure,Both Equally,6,Maybe,Maybe
11/19/2024 16:00:06,19,Female,Under-Graduate,Student,None of the  above,Very Unlikely,Very Effective,Important,Well,Not Sure,Yes,Neutral,Not Applicable,4,About the same,Yes,Very Likely,3,Yes,Both Equally,8,Yes,Maybe
11/25/2024 17:48:11,23,Male,Bachelor's Degree,Employed Part-time,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Neutral,Ineffective,Slightly Important,Poorly,No,Yes,Likely,No,3,Better,Yes,Neutral,4,No,Traditional degrees,7,Yes,No
11/25/2024 17:49:03,27,Female,Post-Graduate,Employed Full-time,"Online certifications (e.g., Coursera, Udemy)",Likely,Very Ineffective,Slightly Important,Well,Yes,No,Unlikely,No,3,Worse,Yes,Unlikely,4,Yes,"Alternative education (bootcamps, online certifications)",5,Yes,Yes
11/25/2024 17:51:48,20,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Likely,Neutral,Important,Poorly,No,Yes,Likely,Yes,5,Better,No,Likely,2,Yes,"Alternative education (bootcamps, online certifications)",9,No,Yes
11/26/2024 2:53:25,24,Female,Under-Graduate,Student,"Online certifications (e.g., Coursera, Udemy)",Neutral,Very Effective,Important,Very Well,Yes,No,Likely,No,4,Better,Yes,Likely,4,Yes,"Alternative education (bootcamps, online certifications)",9,Yes,Yes
11/26/2024 3:01:48,21,Female,College Degree,Un-Employed,None of the  above,Very Unlikely,Very Effective,Very important,Very Well,Yes,Yes,Very Likely,Yes,5,Much Better,Yes,Likely,5,Yes,"Alternative education (bootcamps, online certifications)",10,Yes,Yes
11/26/2024 3:06:31,19,Female,Master's Degree,Student,Both of the above,Very Likely,Effective,Very important,Well,Not Sure,Yes,Very Likely,Yes,4,Much Better,Not Sure,Very Likely,5,Not Sure,Both Equally,10,Maybe,Maybe
11/26/2024 3:07:35,21,Female,Master's Degree,Student,Both of the above,Very Likely,Very Effective,Very important,Very Well,Not Sure,No,Very Likely,No,1,Worse,No,Unlikely,3,Yes,"Alternative education (bootcamps, online certifications)",3,Yes,No
11/26/2024 3:08:49,19,Male,Bachelor's Degree,Student,Both of the above,Very Likely,Effective,Important,Well,Not Sure,Yes,Likely,Yes,4,Better,No,Likely,4,Not Sure,Both Equally,8,Maybe,Maybe
11/26/2024 3:09:44,28,Male,Doctoral Degree,Employed Full-time,Both of the above,Very Likely,Effective,Important,Well,Yes,Yes,Likely,Yes,5,Much Better,Not Sure,Very Likely,5,Not Sure,Both Equally,10,Maybe,Maybe
11/26/2024 3:10:37,24,Male,Matric,Employed Full-time,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Neutral,Effective,Very important,Very Well,Not Sure,No,Very Likely,Not Applicable,1,Much Worse,Yes,Very Likely,5,Not Sure,Both Equally,10,Maybe,Maybe
11/26/2024 3:11:27,22,Male,Master's Degree,Employed Part-time,"Coding bootcamps (e.g., Atom Camp, Data Camp)",Likely,Effective,Important,Well,Yes,Yes,Likely,Yes,4,About the same,Yes,Likely,4,Yes,"Alternative education (bootcamps, online certifications)",5,Yes,Yes
11/26/2024 3:12:34,29,Male,Master's Degree,Employer,Both of the above,Likely,Effective,Important,Well,Yes,Yes,Likely,Yes,5,Much Better,Yes,Likely,5,Yes,Both Equally,10,Yes,Maybe
11/26/2024 3:13:26,34,Male,Doctoral Degree,Un-Employed,Both of the above,Very Unlikely,Very Ineffective,Not important at all,Very Poorly,Not Sure,Yes,Likely,Not Applicable,5,Much Better,Not Sure,Very Likely,5,Not Sure,Both Equally,10,Maybe,Maybe
11/28/2024 22:51:16,22,Female,Under-Graduate,Student,None of the  above,Very Likely,Effective,Very important,Neutral,No,No,Very Unlikely,No,1,About the same,Yes,Likely,3,No,Traditional degrees,1,No,No
11/28/2024 23:23:20,23,Female,Post-Graduate,Employer,"Online certifications (e.g., Coursera, Udemy)",Neutral,Effective,Very important,Neutral,Not Sure,No,Unlikely,No,4,Better,Not Sure,Likely,3,Yes,Both Equally,8,No,Yes
